Dates	Meals & Entertainment	Hotels	Travel	Misc	descrip	descrip2	descrip3	descrip4	descrip5	descrip6	sum
12-Jan	406.78	0.00	0.00	0.00	January 2012	January 25: $174.07 at McCormick & Schmick's for lunch for three people.	January 25: $86.45 at Central Park Bistro for lunch with the HR director and B. Christensen to discuss staffing issues.	January 25: $81.01 at Sushi Kuu for lunch with Peralta CC general counsel Thuy Nguyen.	January 25: $65.25 at California Pizza Kitchen for lunch with Christensen and Dave Dempsey re PIO position.		406.78
12-Feb	0.00	0.00	0.00	0.00	February 2012						0.00
12-Mar	0.00	466.20	0.00	0.00	March 2012	March 26: $466.20 for hotel accomodations at Ahwahnee Lodging at the annual CCC CEO conference.					466.20
12-Apr	0.00	534.50	0.00	0.00	April 2012	April 25: $534.50 for a two night stay at the Hyatt in Monteray for the annual county Progress Seminar.					534.50
12-May	189.90	129.92	0.00	0.00	May 2012	May 25: 129.92 for a deposit for lodging at the Wynn Las Vegas for the upcoming CSEA Convention.	$100.20 at the Cheesecake Factory for lunch with Keller, Luan re International Education program.	$89.70 at West Coast Cafe for lunch with AFT representatives re negotiations.			319.82
12-Jun	146.83	0.00	0.00	0.00	June 2012	June 25: $76.71 at Vivace Belmont for lunch with the HR director re negotiations.	$70.12 at the Cheesecake Factory on lunch with staff members re reclassification of positions.				146.83
12-Jul	117.65	0.00	0.00	0.00	July 2012	July 25: $117.65 at Kingfish for lunch with athletic directors about fitness centers.			Total Expensed Alcohol: $12.00		117.65
12-Aug	0.00	0.00	0.00	0.00	August 2012						0.00
12-Sep	169.02	122.84	0.00	0.00	September 2012	September 13: $95.32 at Town San Carlos for lunch with Brian Bothman, Andrew Rowley and Diana about Nueva School build out.	September 24: $122.84 at the Hyatt for lodging for a statewide CEO meeting.	September 27: $73.70 at Buck's Resaurant for lunch with Christensen and Rich re legislative priorities.			291.86
12-Oct	239.86	0.00	0.00	0.00	October 2012	October 5: $71.54 at Town San Carlos for lunch with Lucy Carter and Jaye about International Ed programs.	October 10: $111.32 at Mario's Place for lunch with a prospective job candidate at the ACBO (Association of Chief Business Officials) meeting.	October 23: $57.00 at the Biltmore for one bottle of La Spinetta Nebbiolo wine.		Total Expensed Alcohol:  $57.00	239.86
12-Nov	0.00	229.95	0.00	0.00	November 2012	November 26: $229.95 for lodging at the Biltmore Hotel for a statewide CEO meeting CCLC.					229.95
12-Dec	0.00	114.12	0.00	0.00	Decm	December 26: $114.12 at the Sheraton for lodging at the student learning conference.	$84.00 at Walgreens for holiday candy for the District Office staff.				114.12
