Dates	Meals & Entertainment	Conferences Hotels & Travel	Misc	descrip	descrip2	descrip3	descrip4	descrip5	descrip6	sum
12-Jan	0	0	0	July 2014						0.00
12-Feb	0	0	0	April 2014						0.00
12-Mar	0	0	0	May 2013						0.00
12-Apr	380.93	2090	0	August 2013	April 25: $1,195.70  at American Airlines.	$895.00 at United Way Worldwide.	$380.93 at Don Pico's San Bruno.			2,470.93
12-May	196.51	0	0	August 2014	May 25: $196.51 at Espetus Churrascaria, San Mateo.					196.51
12-Jun	0	0	0	January 2012						0.00
12-Jul	1174.77	0	0	February 2012	July 24: $901.06 at Dell.					1,174.77
12-Aug	0	0	0	March 2012						0.00
12-Sep	0	0	0	April 2012						0.00
12-Oct	0	0	0	May 2012						0.00
12-Nov	0	0	0	June 2012						0.00
12-Dec	0	0	0	July 2012						0.00
13-Jan	274.5	1260.39	0	August 2012	January 21: $855.00, At American Assoc. of Comm..	January 30: $274.50 at the Sheraton in San Diego.	January 31: $405.39 At W Hotels, San Diego.			1,534.89
13-Feb	127.14	2726.68	0	September 2012	February 06: $127.14 at West Coast Cafe, San Bruno.					2,853.82
13-Mar	0	438.5	0	October 2012	March 14: $438.50 at Ahahnee Lodging.					438.50
13-Apr	0	0	0	November 2012						0.00
13-May	521.56	1100.8	0	December 2012	May 13: $425.00 at Jeff Inc..	May 15: $521.56 at Cleo's Brazillian Steak, San Bruno.	May, 15 $675.80 at United.			1,622.36
13-Jun	0	1578.55	0	January 2013	June 25: $1,513.55: at Carmel Valley Lodge.	June 25: $65.00 at Denver Premier Limos,  Aurora.				1,578.55
13-Jul	148.55	597.8	0	February 2013	July 01: $597.80 at Southwest.	July 11: $148.55 at West Coast Cafe.				746.35
13-Aug	0	0	0	March 2013						0.00
13-Sep	0	0	0	April 2013						0.00
13-Oct	397.33	1024.31	135.78	June 2013	October 17: $135.78 SMCCD Skyline Bookstore, San Bruno.	October 21: $605.60 at United.	October 28: $304.94 at McCormick and Schmicks, Bellevue.	October 29: $418.71 ay Embassy Suites Bellevue.	October 31: $92.39 at BOCANOVALLC. OAKLAND	1,557.42
13-Nov	0	667.7	0	July 2013	November 08: $256.00 at the Inn at Oyster Point, San Francisco.	November 11: $411.70 at the Marriott Detroit.				667.70
13-Dec	0	0	0	September 2013						0.00
14-Jan	0	0	0	October 2013						0.00
14-Feb	0	0	0	November 2013						0.00
14-Mar	305.18	235.56	0	December 2013	March 03: $255.18: at Cleo's Brazillian Steak, San Bruno.	March 03: $50.00 at  Cleo's Brazillian Steak, San Bruno.	March 26: $235.56 at Ahwahnee Lodging.			540.74
14-Apr	0	0	0	January 2014						0.00
14-May	4000	0	0	February 2014	May 30: $4,000.00 on the Cavallo Point Reception.					4,000.00
14-Jun	29.85	0	0	March 2014	June 13: $29.85 at Shiki Japanese Restaurant.					29.85
14-Jul	0	0	0	May 2014						0.00
14-Aug	0	0	0	June 2014						0.00
14-Sep	0	2364.19	0	September 2014	September 01: $1,346.19 at United.	September 04: $59.00 on Paypal (2014 Success Summit for Staff).	September 11: $300.00  on Paypal (2014 Success Summit for Staff)	September 12: $300.00  on Paypal (2014 Success Summit for Staff).	September 16: $59.00 on Paypal (2014Success Summit for Staff).	2,364.19
14-Oct	0	50	0	October 2014	October 09: $50.00 on Paypal.					50.00
14-Nov	0	0	0	November 2014						0.00
14-Dec	0	0	0	December 2014						0.00
