id,state,Total,number_granted,number_denied
0,Alabama,290,283,7
1,Alaska,83,68,15
2,Arizona,1,1,0
3,Arkansas,164,117,47
4,California,663,571,92
5,Colorado,66,66,0
6,Connecticut,29.6,29.6,29.6
7,Delaware,11,10,1
8,Florida,1118,863,255
9,Georgia,680,424,256
10,Hawaii,141,141,0
11,Idaho,114,114,0
12,Illinois,746,660,86
13,Indiana,205,150,55
14,Iowa,1414,730,684
15,Kansas,404,307,97
16,Kentucky,343,181,162
17,Louisiana,130,94,36
18,Maine,134,96,38
19,Maryland,200,196,4
20,Massachusetts,110,65,45
21,Michigan,230,62,168
22,Minnesota,120,100,20
23,Mississippi,289,240,49
24,Missouri,495,481,14
25,Montana,205,147,58
26,Nebraska,193,128,65
27,Nevada,58,58,0
28,New Hampshire,47,28,19
29,New Jersey,150,107,43
30,New Mexico,37,24,13
31,New York,457,336,121
32,North Carolina,704,470,234
33,North Dakota,32,32,0
34,Ohio,449,394,55
35,Oklahoma,207,198,9
36,Oregon,65,65,0
37,Pennsylvania,409,342,67
38,Rhode Island,71,36,35
39,South Dakota,95,73,22
40,South Carolina,472,329,143
41,Tennessee,322,230,92
42,Texas,2894,2105,789
43,Utah,139,104,35
44,Vermont,24,24,0
45,Virginia,945,692,253
46,Washington,135,135,0
47,West Virginia,258,258,0
48,Wisconsin,224,199,25
49,Wyoming,73,73,0
50,District of Columbia,45,45,0
51,Puerto Rico,220,218,2
