name,ap1,pb,hof
Junior Seau,6,12,seau_hof
Derrick Brooks,5,11,y
Dave Robinson,1,3,y
Chris Hanburger,4,9,y
Les Richter,1,8,y
Rickey Jackson,0,6,y
Derrick Thomas,2,9,y
Andre Tippett,2,5,y
Harry Carson,0,9,y
Nick Buoniconti,5,8,y
Dave Wilcox,2,7,y
Lawrence Taylor,8,10,y
Mike Singletary,7,10,y
Ted Hendricks,4,8,y
Jack Lambert,6,9,y
Jack Ham,6,8,y
Willie Lanier,3,8,y
Bobby Bell,6,9,y
Sam Huff,2,5,y
Dick Butkus,5,8,y
Ray Nitschke,2,1,y
Bill George,8,8,y
Joe Schmidt,8,10,y
Chuck Bednarik,5,8,y
Ray Lewis,7,13,n
Brian Urlacher,4,8,n
Dick Butkus,5,8,n
Rick Jackson,2,6,n
DeMarcus Ware,4,8,n
Patrick Willis,5,6,n
Terrell Suggs,6,1,n
Lance Briggs,1,7,n
Clay Matthews,1,4,n
Derrick Brooks,5,11,n
Zach Thomas,5,7,n
Jason Taylor,3,6,n
