year	xposition	yposition	svgwidth	svgheight	color_code	descrip	descrip2	descrip3	year2	xposition2	yposition2	svgwidth2	svgheight2	color_code2
1947	62	140	13	25	#EEC535	Youth activities	 begin at Brandeis-	Bardin Institute	1950-present					
1980-1989	477	70	117	25	#EEC535	New adult and teen programs	increase attendance 	significantly	1950-2006	102	215	704	130	#A23623
1991-present	619	70	303	25	#EEC535	Gan Alonim Day Camp	for kids in K-6	is open		102	10	820	130	#EEC535
1996	680	35	13	25	#EEC535	BBI sues Rocketdyne 	over alleged contamin-	ation from SSFL						
1997	693	35	13	25	#EEC535	BBI signs confidential 	legal settlement 	with Rocketdyne						
2007	819	35	13	25	#EEC535	BBI signs confidential 	legal settlement 	with Rocketdyne						
1953-1988	138	225	417	25	#A23623	SSFL nuclear research 	programs are in 	operation						
1957	188	260	13	25	#A23623	The sodium reactor	experiement (SRE)	goes online						
1959	214	260	13	12.5	#A23623	Radiation from the AE-6 nuclear	reactor contaminats the reactor	room and several employees						
1959	214	273	13	12.5	#A23623	A partial nuclear meltdown	at the SRE releases radioactive	contamination into the environment						
1964	277	260	13	25	#A23623	80% percent of the SNAP8ER	experimental nuclear reactor's 	radioactive fuel is damaged						
1971	365	260	13	25	#A23623	A fire in a decontamination	room leads to radioactive	contamination being released						
1989	593	260	13	25	#A23623	A Dept. of Energy study	finds radioactive and chemical	contamination at SSFL						
1994	656	260	13	25	#A23623	A rocket fuel explosion	kills two scientists	at the lab						
2007	819	260	13	25	#A23623	Boeing is fined for conta-	minated runoff from SSFL	into the community						
