x,y
445, 687.9
447.5, 687.9
450, 687.9
452.5, 687.9
455, 687.9
457.5, 687.9
460, 687.9
462.5, 687.9
465, 687.9
467.5, 687.9
470, 687.9
472.5, 687.9
475, 687.9
477.5, 687.9
480, 687.9
482.5, 687.9
485, 687.9
487.5, 687.9
490, 687.9
492.5, 687.9
495, 687.9
497.5, 687.9
505,684.9
502.5,684.9
500,684.9
497.5, 684.9
495, 684.9
492.5, 684.9
490, 684.9
487.5, 684.9
485, 684.9
482.5, 684.9
480, 684.9
477.5, 684.9
475, 684.9
472.5, 684.9
470, 684.9
467.5, 684.9
465, 684.9
462.5, 684.9
460, 684.9
457.5, 684.9
455, 684.9
452.5, 684.9
450, 684.9
447.5, 684.9
445, 684.9
442.5,684.9
440,684.9
437.5,684.9
432.5,681.9
435,681.9
437.5,681.9
440, 681.9
442.5, 681.9
445, 681.9
447.5, 681.9
450, 681.9
452.5, 681.9
455, 681.9
457.5, 681.9
460, 681.9
462.5, 681.9
465, 681.9
467.5, 681.9
470, 681.9
472.5, 681.9
475, 681.9
477.5, 681.9
480, 681.9
482.5, 681.9
485, 681.9
487.5, 681.9
490, 681.9
492.5, 681.9
495, 681.9
497.5, 681.9
500, 681.9
502.5, 681.9
505,681.9
507.5,681.9
510,681.9
515,678.9
512.5,678.9
510, 678.9
507.5, 678.9
505, 678.9
502.5, 678.9
500, 678.9
497.5, 678.9
495, 678.9
492.5, 678.9
490, 678.9
487.5, 678.9
485, 678.9
482.5, 678.9
480, 678.9
477.5, 678.9
475, 678.9
472.5, 678.9
470, 678.9
467.5, 678.9
465, 678.9
462.5, 678.9
460, 678.9
457.5, 678.9
455, 678.9
452.5, 678.9
450, 678.9
447.5, 678.9
445, 678.9
442.5, 678.9
440, 678.9
437.5, 678.9
435, 678.9
432.5,678.9
430,678.9
427.5,675.9
430, 675.9
432.5, 675.9
435, 675.9
437.5, 675.9
440, 675.9
442.5, 675.9
445, 675.9
447.5, 675.9
450, 675.9
452.5, 675.9
455, 675.9
457.5, 675.9
460, 675.9
462.5, 675.9
465, 675.9
467.5, 675.9
470, 675.9
472.5, 675.9
475, 675.9
477.5, 675.9
480, 675.9
482.5, 675.9
485, 675.9
487.5, 675.9
490, 675.9
492.5, 675.9
495, 675.9
497.5, 675.9
500, 675.9
502.5, 675.9
505, 675.9
507.5, 675.9
510, 675.9
512.5, 675.9
515, 675.9
517.5,675.9
520, 672.9
517.5, 672.9
515, 672.9
512.5, 672.9
510, 672.9
507.5, 672.9
505, 672.9
502.5, 672.9
500, 672.9
497.5, 672.9
495, 672.9
492.5, 672.9
490, 672.9
487.5, 672.9
485, 672.9
482.5, 672.9
480, 672.9
477.5, 672.9
475, 672.9
472.5, 672.9
470, 672.9
467.5, 672.9
465, 672.9
462.5, 672.9
460, 672.9
457.5, 672.9
455, 672.9
452.5, 672.9
450, 672.9
447.5, 672.9
445, 672.9
442.5, 672.9
440, 672.9
437.5, 672.9
435, 672.9
432.5, 672.9
430, 672.9
427.5, 672.9
425, 672.9
422.5, 669.9
425, 669.9
427.5, 669.9
430, 669.9
432.5, 669.9
435, 669.9
437.5, 669.9
440, 669.9
442.5, 669.9
445, 669.9
447.5, 669.9
450, 669.9
452.5, 669.9
455, 669.9
457.5, 669.9
460, 669.9
462.5, 669.9
465, 669.9
467.5, 669.9
470, 669.9
472.5, 669.9
475, 669.9
477.5, 669.9
480, 669.9
482.5, 669.9
485, 669.9
487.5, 669.9
490, 669.9
492.5, 669.9
495, 669.9
497.5, 669.9
500, 669.9
502.5, 669.9
505, 669.9
507.5, 669.9
510, 669.9
512.5, 669.9
515, 669.9
517.5, 669.9
520, 669.9
522.5, 669.9
522.5,666.9
520, 666.9
517.5, 666.9
515, 666.9
512.5, 666.9
510, 666.9
507.5, 666.9
505, 666.9
502.5, 666.9
500, 666.9
497.5, 666.9
495, 666.9
492.5, 666.9
490, 666.9
487.5, 666.9
485, 666.9
482.5, 666.9
480, 666.9
477.5, 666.9
475, 666.9
472.5, 666.9
470, 666.9
467.5, 666.9
465, 666.9
462.5, 666.9
460, 666.9
457.5, 666.9
455, 666.9
452.5, 666.9
450, 666.9
447.5, 666.9
445, 666.9
442.5, 666.9
440, 666.9
437.5, 666.9
435, 666.9
432.5, 666.9
430, 666.9
427.5, 666.9
425, 666.9
422.5, 666.9
422.5, 663.9
425, 663.9
427.5, 663.9
430, 663.9
432.5, 663.9
435, 663.9
437.5, 663.9
440, 663.9
442.5, 663.9
445, 663.9
447.5, 663.9
450, 663.9
452.5, 663.9
455, 663.9
