pope	year_of_travel	destination_count	us_trips	color_code
Paul VI	1964	4	0	#807F7F
Paul VI	1965	1	1	#EEC535
Paul VI	1966	0	0	#807F7F
Paul VI	1967	2	0	#807F7F
Paul VI	1968	2	0	#807F7F
Paul VI	1969	2	0	#807F7F
Paul VI	1970	9	0	#807F7F
John Paul I	1971	0	0	#807F7F
John Paul I	1972	0	0	#807F7F
John Paul I	1973	0	0	#807F7F
John Paul I	1974	0	0	#807F7F
John Paul I	1975	0	0	#807F7F
John Paul I	1976	0	0	#807F7F
John Paul I	1977	0	0	#807F7F
John Paul I	1978	0	0	#807F7F
John Paul II	1979	7	1	#EEC536
John Paul II	1980	9	0	#807F7F
John Paul II	1981	5	1	#EEC537
John Paul II	1982	11	0	#807F7F
John Paul II	1983	12	0	#807F7F
John Paul II	1984	10	1	#EEC538
John Paul II	1985	14	0	#807F7F
John Paul II	1986	10	0	#807F7F
John Paul II	1987	7	1	#EEC539
John Paul II	1988	11	0	#807F7F
John Paul II	1989	14	0	#807F7F
John Paul II	1990	14	0	#807F7F
John Paul II	1991	5	0	#807F7F
John Paul II	1992	6	0	#807F7F
John Paul II	1993	11	1	#EEC540
John Paul II	1994	1	0	#807F7F
John Paul II	1995	12	1	#EEC541
John Paul II	1996	9	0	#807F7F
John Paul II	1997	6	0	#807F7F
John Paul II	1998	4	0	#807F7F
John Paul II	1999	7	1	#EEC542
John Paul II	2000	4	0	#807F7F
John Paul II	2001	6	0	#807F7F
John Paul II	2002	6	0	#807F7F
John Paul II	2003	4	0	#807F7F
John Paul II	2004	2	0	#807F7F
 Benedict XVI	2005	1	0	#807F7F
 Benedict XVI	2006	4	0	#807F7F
 Benedict XVI	2007	2	0	#807F7F
 Benedict XVI	2008	3	1	#EEC543
 Benedict XVI	2009	5	0	#807F7F
 Benedict XVI	2010	5	0	#807F7F
 Benedict XVI	2011	5	0	#807F7F
 Benedict XVI	2012	3	0	#807F7F
 Francis	2013	1	0	#807F7F
 Francis	2014	7	0	#807F7F
 Francis	2015	12	1	#EEC544
